incident_id,case_number,incident_datetime,incident_type_primary,incident_description,address_1,city,state,zip,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
"743,476,414",00-01-0539-1,2000 Jan 09 12:01:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/09/2000 00:01<br>Occur To Date: 01/09/2000 00:30<br>16-11-39.1 HARASSING PHONE CALLS<br>Case Status: Open Investigation,2000 Block TIMOTHY RD,ATHENS,GA,30606,33.937728,-83.449934,2016 Jan 11 05:42:27 PM,2016 Jan 11 08:09:07 PM,POINT (-83.449934 33.937728),0,Sunday,Other
"743,847,639",00-01-1117-1,2000 Jan 09 12:01:00 AM,DAMAGE TO PROPERTY OFFENSE,Occur From Date: 01/09/2000 00:01<br>Occur To Date: 01/16/2000 19:30<br>16-7-23 CRIMINAL DAMAGE 2ND DEGREE OTHER<br>Case Status: Open Investigation,BAXTER ST,ATHENS,GA,33.9482535,-83.3918059,2016 Jan 11 08:10:39 PM,2016 Jan 11 11:35:49 PM,POINT (-83.3918059 33.9482535),0,Sunday,Property Crime,
"743,838,177",00-01-0538-2,2000 Jan 09 12:15:00 AM,DRUNKENNESS,Occur From Date: 01/09/2000 00:15<br>Occur To Date: 01/09/2000 00:20<br>3-5-4 PUBLIC INTOXICATION<br>Case Status: Cleared by Arrest,1700 Block COMMERCE RD,ATHENS,GA,30607,33.9937029,-83.379115,2016 Jan 11 08:06:36 PM,2016 Jan 11 11:30:00 PM,POINT (-83.379115 33.9937029),0,Sunday,Liquor
"743,847,810",00-01-0538-1,2000 Jan 09 12:15:00 AM,DISORDERLY CONDUCT,Occur From Date: 01/09/2000 00:15<br>Occur To Date: 01/09/2000 00:20<br>3-5-1 DISORDERLY CONDUCT<br>Case Status: Cleared by Arrest,1700 Block COMMERCE RD,ATHENS,GA,30607,33.9937029,-83.379115,2016 Jan 11 08:10:39 PM,2016 Jan 11 11:35:54 PM,POINT (-83.379115 33.9937029),0,Sunday,Disorder
"743,877,522",00-01-0540-1,2000 Jan 09 01:48:00 AM,DRUNKENNESS,Occur From Date: 01/09/2000 01:48<br>Occur To Date: 01/09/2000 01:53<br>3-5-4 PUBLIC INTOXICATION<br>Case Status: Cleared by Arrest,100 Block E CLAYTON ST,ATHENS,GA,30601,33.9581905,-83.3770455,2016 Jan 11 08:22:39 PM,2016 Jan 11 11:52:13 PM,POINT (-83.3770455 33.9581905),1,Sunday,Liquor
"743,500,343",00-01-0554-1,2000 Jan 09 02:00:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/09/2000 02:00<br>Occur To Date: 01/09/2000 08:00<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Open Investigation,200 Block NANTAHALA AV,ATHENS,GA,30601,33.9667826,-83.3879599,2016 Jan 11 05:50:24 PM,2016 Jan 11 08:21:30 PM,POINT (-83.3879599 33.9667826),2,Sunday,Other
"743,744,483",00-01-0541-1,2000 Jan 09 02:00:00 AM,OTHER ASSAULTS,Occur From Date: 01/09/2000 02:00<br>Occur To Date: 01/09/2000 02:00<br>16-5-23 SIMPLE BATTERY<br>Case Status: Exceptionally Cleared,300 Block N BLUFF RD,ATHENS,GA,30607,34.003543,-83.380065,2016 Jan 11 07:24:54 PM,2016 Jan 11 10:36:29 PM,POINT (-83.380065 34.003543),2,Sunday,Assault
"743,825,340",00-01-0543-1,2000 Jan 09 02:30:00 AM,LIQUOR LAWS,Occur From Date: 01/09/2000 02:30<br>Occur To Date: 01/09/2000 02:40<br>3-3-23 UNDERAGE FURNISH POSS OR CONSUMPTION OF ALCOHOL<br>Case Status: Cleared by Arrest,E CLAYTON ST,ATHENS,GA,30601,33.9585374,-83.3755704,2016 Jan 11 08:01:51 PM,2016 Jan 11 11:22:34 PM,POINT (-83.3755704 33.9585374),2,Sunday,Liquor
"743,730,079",00-01-0545-1,2000 Jan 09 02:40:00 AM,OTHER ASSAULTS,Occur From Date: 01/09/2000 02:40<br>Occur To Date: 01/09/2000 02:43<br>16-5-23 SIMPLE BATTERY<br>Case Status: Exceptionally Cleared,800 Block SUNSET DR,ATHENS,GA,30606,33.9645155,-83.4109833,2016 Jan 11 07:18:57 PM,2016 Jan 11 10:28:06 PM,POINT (-83.4109833 33.9645155),2,Sunday,Assault
"743,852,435",00-01-0544-1,2000 Jan 09 02:40:00 AM,DRIVING UNDER THE INFLUENCE,Occur From Date: 01/09/2000 02:40<br>Occur To Date: 01/09/2000 02:40<br>40-6-391 DUI - ALCOHOL<br>Case Status: Cleared by Arrest,2500 Block RIVERBEND RD,ATHENS,GA,30605,33.9222646,-83.3737318,2016 Jan 11 08:12:45 PM,2016 Jan 11 11:38:33 PM,POINT (-83.3737318 33.9222646),2,Sunday,Liquor
"743,477,634",00-01-0550-1,2000 Jan 09 03:00:00 AM,AGGRAVATED ASSAULT,Occur From Date: 01/09/2000 03:00<br>Occur To Date: 01/09/2000 03:30<br>16-5-21 AGGRAVATED ASSAULT - OTHER DANGEROUS WEAPON<br>Case Status: Open Investigation,BROADACRES,ATHENS,GA,30606,33.9539099,-83.3955838,2016 Jan 11 05:42:46 PM,2016 Jan 11 08:08:57 PM,POINT (-83.3955838 33.9539099),3,Sunday,Assault with Deadly Weapon
"743,923,509",00-01-0547-1,2000 Jan 09 04:16:00 AM,DRIVING UNDER THE INFLUENCE,Occur From Date: 01/09/2000 04:16<br>Occur To Date: 01/09/2000 04:30<br>40-6-391 DUI - ALCOHOL<br>Case Status: Cleared by Arrest,WESTLAKE DR,ATHENS,GA,30606,33.9351408,-83.3992358,2016 Jan 11 08:39:32 PM,2016 Jan 12 12:19:17 AM,POINT (-83.3992358 33.9351408),4,Sunday,Liquor
"743,858,215",00-01-0548-1,2000 Jan 09 05:30:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/09/2000 05:30<br>Occur To Date: 01/09/2000 05:45<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Open Investigation,100 Block CARRIAGE CT,ATHENS,GA,30605,33.9362828,-83.352677,2016 Jan 11 08:15:08 PM,2016 Jan 11 11:41:32 PM,POINT (-83.352677 33.9362828),5,Sunday,Other
"743,923,468",00-01-1292-1,2000 Jan 09 07:30:00 AM,MOTOR VEHICLE THEFT,Occur From Date: 01/09/2000 07:30<br>Occur To Date: 01/19/2000 10:45<br>16-8-2 (MV) THEFT BY TAKING - AUTO<br>Case Status: Open Investigation,200 Block PEACH ST,ATHENS,GA,30606,33.9536203,-83.4167733,2016 Jan 11 08:39:32 PM,2016 Jan 12 12:19:16 AM,POINT (-83.4167733 33.9536203),7,Sunday,Theft of Vehicle
"743,505,832",01-04-1997-1,2000 Jan 09 08:00:00 AM,FORGERY AND COUNTERFEITING,Occur From Date: 01/09/2000 08:00<br>Occur To Date: 04/19/2001 17:00<br>16-9-1 FORGERY IN THE 1ST DEGREE - CHECKS<br>Case Status: Cleared by Arrest,4100 Block LEXINGTON RD,ATHENS,GA,30605,33.9373362,-83.320419,2016 Jan 11 05:52:29 PM,2016 Jan 11 08:27:26 PM,POINT (-83.320419 33.9373362),8,Sunday,Theft
"743,567,177",00-01-0849-1,2000 Jan 09 09:00:00 AM,BURGLARY,Occur From Date: 01/09/2000 09:00<br>Occur To Date: 01/13/2000 12:30<br>16-7-1 BURGLARY - RESIDENCE - NO FORCED ENTRY<br>Case Status: Open Investigation,600 Block AUBREY DR,ATHENS,GA,30622,33.944425,-83.503181,2016 Jan 11 06:13:13 PM,2016 Jan 11 08:56:53 PM,POINT (-83.503181 33.944425),9,Sunday,Breaking & Entering
"743,703,773",00-01-0564-1,2000 Jan 09 09:30:00 AM,LARCENY-THEFT,Occur From Date: 01/09/2000 09:30<br>Occur To Date: 01/09/2000 13:30<br>16-8-2 THEFT BY TAKING - BICYCLE - $.01 TO $500.00<br>Case Status: Open Investigation,100 Block GLENDALE HGT,ATHENS,GA,30683,33.966123,-83.3098092,2016 Jan 11 07:07:33 PM,2016 Jan 11 10:12:44 PM,POINT (-83.3098092 33.966123),9,Sunday,Theft
"743,741,743",01-01-0607-1,2000 Jan 09 10:00:00 AM,MOTOR VEHICLE THEFT,Occur From Date: 01/09/2000 10:00<br>Occur To Date: 12/20/2000 19:00<br>16-8-2 (MV) THEFT BY TAKING - AUTO<br>Case Status: Open Investigation,200 Block E WHITEHALL RD,ATHENS,GA,30605,33.909754,-83.357766,2016 Jan 11 07:23:47 PM,2016 Jan 11 10:34:39 PM,POINT (-83.357766 33.909754),10,Sunday,Theft of Vehicle
"743,493,195",00-01-0553-1,2000 Jan 09 10:15:00 AM,ALL OTHER OFFENSES,Occur From Date: 01/09/2000 10:15<br>Occur To Date: 01/09/2000 10:55<br>16-7-21 CRIMINAL TRESPASS<br>Case Status: Cleared by Arrest,700 Block DANIELSVILLE RD,ATHENS,GA,30601,33.9813806,-83.3621193,2016 Jan 11 05:48:03 PM,2016 Jan 11 08:17:37 PM,POINT (-83.3621193 33.9813806),10,Sunday,Other
