ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude,Crime Category,Theft,Sexual Abuse,Assault,Others,Rape,Murder,Drug Abuse,Drinking in Public,Traffic Accidents,Forgery,Vandalism,Weapon Violation,Missing Person,Suspicious Entity,Indecent Exposure,Accident,Animal Abuse,Threats,Harassment,Child Abuse,Trespassing,Stalking,Evidence Tampering,Misconduct,Prostitution,Noise Complaint,Kidnapping,Severity Index
"743,552,463",2000 Feb 03 01:45:00 PM,larceny-theft,200 Block APPLEBY DR,Athens,GA,30605,33.9467983,-83.3611379,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,473,401",2000 Feb 03 03:00:00 PM,all other offenses,200 Block S MILLEDGE AV,Athens,GA,30605,33.9537364,-83.3879365,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,529,961",2000 Feb 03 03:00:00 PM,larceny-theft,400 Block NORTH AV,Athens,GA,30601,33.9778997,-83.36381159999999,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,504,344",2000 Feb 03 03:25:00 PM,disorderly conduct,200 Block NORTH AV,Athens,GA,30601,33.969365,-83.3686282,Others,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,594,494",2000 Feb 03 03:25:00 PM,drunkenness,200 Block NORTH AV,Athens,GA,30601,33.969365,-83.3686282,Drinking in Public,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,910,099",2000 Feb 03 04:00:00 PM,damage to property offense,800 Block BARBER ST,Athens,GA,30601,33.9720975,-83.3876244,Vandalism,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,852,036",2000 Feb 03 04:30:00 PM,motor vehicle theft,200 Block N FINLEY ST,Athens,GA,30601,33.9574036,-83.383063,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,858,324",2000 Feb 03 04:30:00 PM,larceny-theft,200 Block N FINLEY ST,Athens,GA,30601,33.9574036,-83.383063,Theft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"743,543,579",2000 Feb 03 05:46:00 PM,drug abuse violations,PAULDOE ST,Athens,GA,30606,33.9544253,-83.41513909999999,Drug Abuse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"743,587,775",2000 Feb 03 05:46:00 PM,drug abuse violations,PAULDOE ST,Athens,GA,30606,33.9544253,-83.41513909999999,Drug Abuse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
