ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude
"743,639,229",2000 Feb 13 01:27:00 AM,ALL OTHER OFFENSES,200 Block N LUMPKIN ST,ATHENS,GA,30601.0,33.9582149,-83.3770503
"743,680,530",2000 Feb 13 01:27:00 AM,DISORDERLY CONDUCT,200 Block N LUMPKIN ST,ATHENS,GA,30601.0,33.9582149,-83.3770503
"743,680,533",2000 Feb 13 01:27:00 AM,DRUG ABUSE VIOLATIONS,200 Block N LUMPKIN ST,ATHENS,GA,30601.0,33.9582149,-83.3770503
"743,680,534",2000 Feb 13 01:27:00 AM,DRUG ABUSE VIOLATIONS,200 Block N LUMPKIN ST,ATHENS,GA,30601.0,33.9582149,-83.3770503
"743,879,238",2000 Feb 13 01:30:00 AM,FRAUD,200 Block CONRAD DR,ATHENS,GA,30601.0,33.973584,-83.375656
"743,879,716",2000 Feb 13 01:30:00 AM,LARCENY-THEFT,200 Block CONRAD DR,ATHENS,GA,30601.0,33.973584,-83.375656
"743,650,438",2000 Feb 13 01:37:00 AM,DRIVING UNDER THE INFLUENCE,HOLMAN AV,ATHENS,GA,30606.0,33.9553681,-83.4055974
"743,601,832",2000 Feb 13 02:00:00 AM,OTHER ASSAULTS,200 Block CONRAD DR,ATHENS,GA,30601.0,33.973584,-83.375656
"743,656,559",2000 Feb 13 02:00:00 AM,LARCENY-THEFT,2400 Block W BROAD ST,ATHENS,GA,30606.0,33.9474468,-83.4194657
"743,837,068",2000 Feb 13 02:15:00 AM,DISORDERLY CONDUCT,1700 Block COMMERCE RD,ATHENS,GA,30607.0,33.9937029,-83.379115
"743,848,977",2000 Feb 13 02:15:00 AM,LIQUOR LAWS,1700 Block COMMERCE RD,ATHENS,GA,30607.0,33.9937029,-83.379115
"743,876,816",2000 Feb 13 02:15:00 AM,ALL OTHER OFFENSES,1700 Block COMMERCE RD,ATHENS,GA,30607.0,33.9937029,-83.379115
"743,649,815",2000 Feb 13 02:20:00 AM,ROBBERY,2100 Block W BROAD ST,ATHENS,GA,30606.0,33.9509214,-83.4050236
"743,893,183",2000 Feb 13 03:40:00 AM,DISORDERLY CONDUCT,900 Block PRINCE AV,ATHENS,GA,30606.0,33.9619202,-83.3925689
