ID,Incident Date and Time,Incident Type,Street,City,State,Zip,Latitude,Longitude
"882,676,679",2018 Oct 23 03:30:00 PM,LARCENY/THEFT,500 Block LISBON AV,BUFFALO,NY,14206,42.94642489,-78.80974977
"894,378,276",2018 Dec 16 11:30:00 AM,LARCENY/THEFT,E UTICA ST & WOHLERS AV,BUFFALO,NY,14206,42.91105648,-78.84810607
"914,599,849",2019 Apr 01 12:30:00 PM,LARCENY/THEFT,400 Block LISBON AV,BUFFALO,NY,14206,42.94642378,-78.81031002
"910,605,605",2018 Jul 04 12:01:00 AM,SEXUAL ABUSE,1 Block VANDERBILT ST,BUFFALO,NY,14206,42.89218619,-78.80585686
"866,290,788",2018 Aug 06 01:00:00 AM,ASSAULT,500 Block MINNESOTA AV,BUFFALO,NY,14206,42.94609585,-78.80963651
"866,367,361",2018 Aug 07 01:45:00 AM,BURGLARY,1800 Block SENECA ST,BUFFALO,NY,14206,42.85957063,-78.81498951
"910,430,413",2019 Jan 23 03:01:05 PM,ASSAULT,400 Block GRIDER ST,BUFFALO,NY,14206,42.91768409,-78.82913214
"909,245,258",2019 Mar 06 04:23:00 AM,LARCENY/THEFT,400 Block WOODLAWN AV,BUFFALO,NY,14206,42.91407055,-78.84991083
"881,319,668",2018 Oct 06 12:00:00 AM,ASSAULT,1 Block EASTON AV,BUFFALO,NY,14206,42.92779176,-78.81091369
"881,150,015",2018 Oct 14 02:42:49 AM,BURGLARY,100 Block RICHLAWN AV,BUFFALO,NY,14206,42.93584633,-78.83013795
"881,070,197",2018 Oct 13 12:06:00 AM,ROBBERY,WOHLERS AV & E FERRY ST,BUFFALO,NY,14206,42.91470579999999,-78.84812169
"881,380,708",2018 Oct 15 12:00:00 AM,LARCENY/THEFT,FREUND ST & E DELAVAN AV,BUFFALO,NY,14206,42.92289687,-78.80238312
"881,388,568",2018 Oct 16 12:06:00 PM,ROBBERY,1 Block EASTON AV,BUFFALO,NY,14206,42.92770989,-78.81068936
"881,388,567",2018 Oct 16 12:30:00 PM,LARCENY/THEFT,900 Block BROADWAY,BUFFALO,NY,14206,42.89316306,-78.83746857
"940,105,333",2019 Aug 29 12:00:00 PM,LARCENY/THEFT,200 Block DAVEY ST,BUFFALO,NY,14206,42.89133906,-78.80406261
"879,205,318",2018 Jul 27 11:00:00 PM,LARCENY/THEFT,1000 Block E LOVEJOY ST,BUFFALO,NY,14206,42.88949341,-78.80778759
"877,704,703",2018 Sep 11 10:00:00 AM,LARCENY/THEFT,2500 Block BAILEY AV,BUFFALO,NY,14206,42.9243571,-78.81332793
"914,553,688",2019 Apr 22 12:25:00 AM,ASSAULT,1 Block CUSTER ST,BUFFALO,NY,14206,42.94962063,-78.83008093
"857,675,461",2018 Jun 15 10:00:00 PM,LARCENY/THEFT,100 Block LANGFIELD DR,BUFFALO,NY,14206,42.92966208,-78.80864285
"877,795,591",2018 Sep 14 10:17:47 AM,BURGLARY,2700 Block BAILEY AV,BUFFALO,NY,14206,42.93006295,-78.81402128
"922,799,136",2019 Jun 11 09:00:00 AM,LARCENY/THEFT,2200 Block BAILEY AV,BUFFALO,NY,14206,42.91530201,-78.81348091
"906,243,142",2019 Feb 01 12:00:00 PM,SEXUAL ABUSE,200 Block SHUMWAY ST,BUFFALO,NY,14206,42.88993517,-78.84525434
"843,142,187",2018 Apr 19 11:57:03 PM,LARCENY/THEFT,600 Block AMHERST ST,BUFFALO,NY,14206,42.93999218,-78.81577627
"843,187,153",2018 Apr 20 06:45:00 AM,LARCENY/THEFT,300 Block ROEHRER AV,BUFFALO,NY,14206,42.91426497,-78.84890375
