Type Of House,Price,Number of rooms,Street,City,State,Zip
Apartment for rent,1100,2,510 Bird Ave APT 4,Buffalo,NY,14222
Apartment for rent,1100,3,Taunton Pl,Buffalo,NY,14216
Apartment for rent,750,2,1755 Clinton St,Buffalo,NY,14206
House for rent,1800,3,834 Ashland Ave,Buffalo,NY,14222
Apartment for rent,825,2,1170 Kenmore Ave APT 6,Buffalo,NY,14216
Apartment for rent,815,1,960 Amherst St,Buffalo,NY,14216
Apartment for rent,895,2,115 Claremont Ave APT 6,Buffalo,NY,14222
Apartment for rent,1500,1,30 Essex St REAR C,Buffalo,NY,14213
Apartment for rent,650,1,1472 Hertel Ave APT 1,Buffalo,NY,14216
Apartment for rent,700,2,284 Riverside Ave # 2,Buffalo,NY,14207
Apartment for rent,1225,3,91 Traymore St,Buffalo,NY,14216
Apartment for rent,795,1,537 W Ferry APT 4,Buffalo,NY,14222
Apartment for rent,675,2,36 Hoffman Pl APT 4,Buffalo,NY,14207
House for rent,1400,6,243 Laurel St,Buffalo,NY,14208
Apartment for rent,1200,3,1153 Hertel Ave,Buffalo,NY,14216
Apartment for rent,665,1,94 Austin St,Buffalo,NY,14207
Apartment for rent,1100,2,763 Amherst St,Buffalo,NY,14216
Apartment for rent,975,3,527 Glenwood Ave,Buffalo,NY,14208
Apartment for rent,950,2,Ladner Ave,Buffalo,NY,14220
House for rent,800,2,253 Laird Ave,Buffalo,NY,14207
Apartment for rent,800,2,429 Prospect Avenue # 2nd,Buffalo,NY,14201
Apartment for rent,995,1,138 Lancaster Ave # 2,Buffalo,NY,14222
House for rent,1100,5,37 Thornton Ave,Buffalo,NY,14215
Apartment for rent,750,3,2061 Fillmore Ave FL 1ST,Buffalo,NY,14214
Apartment for rent,850,3,28 Geary St,Buffalo,NY,14210
Apartment for rent,2000,2,176 N Pearl St,Buffalo,NY,14202
Apartment for rent,800,2,57 Vernon Pl,Buffalo,NY,14214
Condo for rent,1900,2,Delaware Ave,Buffalo,NY,14209
Apartment for rent,1200,2,Ramsdell Ave,Buffalo,NY,14216
House for rent,1000,4,29 Warren Ave,Buffalo,NY,14212
Apartment for rent,725,2,37 Duerstein St,Buffalo,NY,14210
Apartment for rent,900,2,197 Parkdale Ave,Buffalo,NY,14213
Apartment for rent,1700,4,18 Meech Ave # 1,Buffalo,NY,14208
Apartment for rent,950,4,7 Frankfort Ave # 1,Buffalo,NY,14211
Apartment for rent,1250,2,134 Saint James Pl,Buffalo,NY,14222
Apartment for rent,950,3,201 Lisbon Ave,Buffalo,NY,14215
Apartment for rent,1200,4,2025 Broadway Street # Second Floor,Buffalo,NY,14212
Apartment for rent,750,3,37 Empire St,Buffalo,NY,14212
Apartment for rent,750,3,30 Empire Street # Second Floor,Buffalo,NY,14212
Apartment for rent,1300,2,197 Claremont Ave FL 3RD,Buffalo,NY,14222
Apartment for rent,800,3,1310 E Lovejoy St # 1ST,Buffalo,NY,14206
Apartment for rent,1200,4,117 Thatcher Ave # SINGEL,Buffalo,NY,14215
Apartment for rent,1750,3,291 Richmond Ave # 1,Buffalo,NY,14222
Apartment for rent,2550,6,149 Hughes Ave # 2,Buffalo,NY,14208
Apartment for rent,880,1,721 W Ferry St,Buffalo,NY,14222
Condo for rent,1800,2,1088 Delaware Ave APT 4F,Buffalo,NY,14209
Apartment for rent,765,2,2128 Genesee St,Buffalo,NY,14211
Apartment for rent,850,3,38 Peck St,Buffalo,NY,14212
Apartment for rent,700,3,31 Gatchell St,Buffalo,NY,14212
House for rent,800,2,575 Tonawanda St,Buffalo,NY,14207
Apartment for rent,675,2,218 Roslyn St FL 2ND,Buffalo,NY,14215
Apartment for rent,1300,3,631 W Delavan Ave,Buffalo,NY,14222
Apartment for rent,1025,2,Jewett Pkwy,Buffalo,NY,14214
Apartment for rent,975,3,Ashley St,Buffalo,NY,14212
Apartment for rent,875,2,Sherman St,Buffalo,NY,14212
Apartment for rent,750,2,Guilford St,Buffalo,NY,14212
Apartment for rent,975,3,Dunlop Ave,Buffalo,NY,14215
Apartment for rent,900,2,427 Baynes St FL 1ST,Buffalo,NY,14213
House for rent,1375,2,37 Ardmore Pl,Buffalo,NY,14213
Apartment for rent,900,3,88 Brunswick Blvd,Buffalo,NY,14208
Apartment for rent,700,2,70 Kilhoffer St # 2,Buffalo,NY,14211
Apartment for rent,700,2,1334 E Ferry St,Buffalo,NY,14211
Apartment for rent,1000,3,73 Duerstein St,Buffalo,NY,14210
House for rent,1050,4,488 Northampton St,Buffalo,NY,14208
Apartment for rent,1200,3,98 W Northrup Pl,Buffalo,NY,14214
House for rent,2950,8,72 Winspear Ave,Buffalo,NY,14214
House for rent,1750,5,115 W Northrup Pl,Buffalo,NY,14214
House for rent,1950,6,238 Lisbon Ave,Buffalo,NY,14215
House for rent,1950,6,17 Minnesota Ave,Buffalo,NY,14214
Apartment for rent,700,3,112 Goembel Ave FL 2ND,Buffalo,NY,14211
House for rent,1900,4,43 Winspear Ave,Buffalo,NY,14214
House for rent,1900,4,41 Winspear Ave,Buffalo,NY,14214
House for rent,1100,3,101 Thatcher Ave,Buffalo,NY,14215
Apartment for rent,1050,3,Massachusetts Ave,Buffalo,NY,14213
Apartment for rent,1500,2,338 Richmond Ave,Buffalo,NY,14222
Apartment for rent,850,2,105 Hollywood Ave # LEFT,Buffalo,NY,14220
Apartment for rent,790,1,16 Ripley Pl # 3,Buffalo,NY,14213
Apartment for rent,1550,2,2050 Delaware Ave APT D,Buffalo,NY,14216
Apartment for rent,925,2,820 Elmwood Ave APT 5,Buffalo,NY,14222
Apartment for rent,1450,2,116 Linwood Ave APT 3,Buffalo,NY,14209
Apartment for rent,1000,3,49 Lisbon Ave # 1,Buffalo,NY,14214
Apartment for rent,700,2,534 Minnesota Ave,Buffalo,NY,14215
Apartment for rent,950,2,24 S Putnam St,Buffalo,NY,14213
Apartment for rent,2200,2,490 Pearl St,Buffalo,NY,14202
Apartment for rent,765,1,245 North St # OLD,Buffalo,NY,14201
Apartment for rent,800,2,575 Colvin Ave APT 4,Buffalo,NY,14216
House for rent,700,2,124 Liddell St,Buffalo,NY,14212
Apartment for rent,750,2,131 Shoshone St # 1,Buffalo,NY,14214
Apartment for rent,1350,3,460 Prospect Ave,Buffalo,NY,14201
Apartment for rent,795,2,140 Bush St APT 3,Buffalo,NY,14207
Apartment for rent,800,3,105 Barthel St,Buffalo,NY,14211
Apartment for rent,800,1,234 Crescent Ave,Buffalo,NY,14214
Apartment for rent,725,2,45 N Ogden St APT 1,Buffalo,NY,14206
Apartment for rent,995,2,583 Breckenridge St,Buffalo,NY,14222
Apartment for rent,1100,3,42 Rand Ave,Buffalo,NY,14216
Apartment for rent,725,2,94 Berkshire Ave 94-08 # 7730039,Buffalo,NY,14215
Apartment for rent,840,2,127 Greene St,Buffalo,NY,14206
Apartment for rent,975,4,105 Eller Ave # SINGLE,Buffalo,NY,14211
Apartment for rent,850,1,388 Elmwood Ave APT 6,Buffalo,NY,14222
Apartment for rent,650,2,216 Jewett Ave,Buffalo,NY,14214
Apartment for rent,975,2,313 Pennsylvania St,Buffalo,NY,14201
Apartment for rent,1175,2,748 Elmwood Ave APT 5,Buffalo,NY,14222
Apartment for rent,800,1,1812 Clinton St,Buffalo,NY,14206
Apartment for rent,950,2,127 Lafayette Ave # 1,Buffalo,NY,14213
Apartment for rent,600,2,218 Goodyear Ave FL 2ND,Buffalo,NY,14211
Apartment for rent,800,3,33 Northumberland Ave,Buffalo,NY,14215
House for rent,1050,4,77 Carl St,Buffalo,NY,14215
Apartment for rent,1590,2,22 Cleveburn Pl # ELMWOOD,Buffalo,NY,14222
Apartment for rent,825,2,153 Hinman Ave,Buffalo,NY,14216
Apartment for rent,800,4,91 Walden Ave # SECOND,Buffalo,NY,14211
Apartment for rent,650,2,256 Sobieski St LOWR #,Buffalo,NY,14211
Apartment for rent,800,3,67 Walden Ave,Buffalo,NY,14211
Apartment for rent,1300,4,1094 Elmwood Ave,Buffalo,NY,14222
Apartment for rent,750,3,108 Stevens Ave,Buffalo,NY,14215
House for rent,1925,5,53 Meech Ave,Buffalo,NY,14208
Apartment for rent,1600,4,28 Hodge Ave # 1,Buffalo,NY,14222
Apartment for rent,875,1,141 Saranac Ave # L,Buffalo,NY,14216
Apartment for rent,1275,3,191 Virgil Ave,Buffalo,NY,14216
House for rent,995,3,603 E Amherst St,Buffalo,NY,14215
Apartment for rent,1500,3,711 Lafayette Ave,Buffalo,NY,14222
Apartment for rent,1400,3,226 Tacoma Ave # 1,Buffalo,NY,14216
Apartment for rent,1050,2,119 Peter St,Buffalo,NY,14207
Apartment for rent,550,2,164 Clark St # 1,Buffalo,NY,14212
House for rent,1300,3,47 Fargo Ave,Buffalo,NY,14201
Apartment for rent,1000,3,291 West Ave,Buffalo,NY,14201
Apartment for rent,750,1,2730 Main St APT 18,Buffalo,NY,14214
Apartment for rent,950,2,246 Bryant St,Buffalo,NY,14222
Apartment for rent,825,1,828 Elmwood Ave APT 3,Buffalo,NY,14222
House for rent,800,3,15 Person St,Buffalo,NY,14212
Apartment for rent,1200,3,425 Huntington Ave,Buffalo,NY,14214
Apartment for rent,1200,2,341 Richmond Ave APT 3,Buffalo,NY,14222
Apartment for rent,1300,1,17 Newman Pl,Buffalo,NY,14210
Apartment for rent,1500,3,201 W Utica St # 1ST,Buffalo,NY,14222
Apartment for rent,1190,2,45 N Pearl St,Buffalo,NY,14202
Apartment for rent,1500,3,W Utica St,Buffalo,NY,14222
House for rent,1450,3,Oxford Ave,Buffalo,NY,14209
Apartment for rent,800,3,37 Fox St,Buffalo,NY,14212
Apartment for rent,1100,5,6 Domedion Ave # 2,Buffalo,NY,14211
House for rent,750,1,379 Sanders Rd,Buffalo,NY,14216
House for rent,850,3,232 Shirley Ave,Buffalo,NY,14215
Apartment for rent,1250,3,204 Colvin Avenue # First Floor,Buffalo,NY,14216
Apartment for rent,700,3,455 Dodge St # 1,Buffalo,NY,14208
Apartment for rent,650,2,6 Rustic Pl,Buffalo,NY,14211
Apartment for rent,700,3,355 Cambridge Ave FL 2ND,Buffalo,NY,14215
House for rent,1300,4,Grote St,Buffalo,NY,14207
Apartment for rent,750,2,42 Poultney Ave FL 2ND,Buffalo,NY,14215
Apartment for rent,1000,3,929 Lafayette Ave # 1,Buffalo,NY,14209
Apartment for rent,725,3,187 Carl St,Buffalo,NY,14215
Apartment for rent,850,3,490 E Utica St FL 1ST,Buffalo,NY,14208
Apartment for rent,1300,3,270 Loring Ave,Buffalo,NY,14214
Apartment for rent,1000,3,17 Mount Vernon Buffalo Ny,Buffalo,NY,14210
Apartment for rent,650,2,355 Plymouth Ave,Buffalo,NY,14213
Apartment for rent,1150,2,45 College St,Buffalo,NY,14201
Apartment for rent,700,2,50 Theodore St,Buffalo,NY,14211
House for rent,750,3,888 Prospect Ave,Buffalo,NY,14213
Apartment for rent,850,2,15 Grove St APT 1,Buffalo,NY,14207
Apartment for rent,3750,2,537 Main St,Buffalo,NY,14203
Apartment for rent,850,2,54 Camden Ave,Buffalo,NY,14216
Apartment for rent,995,2,582 7th St,Buffalo,NY,14201
Apartment for rent,1195,2,940 Amherst St APT 5,Buffalo,NY,14216
Apartment for rent,1295,3,575 Bird Ave APT 2,Buffalo,NY,14222
Apartment for rent,675,2,59 Gerald Ave,Buffalo,NY,14215
Apartment for rent,850,3,496 E Utica St FL 1ST,Buffalo,NY,14208
Apartment for rent,995,1,Mariner St,Buffalo,NY,14201
Apartment for rent,950,3,93 Fargo Ave,Buffalo,NY,14201
Apartment for rent,1075,2,68 Prospect Ave,Buffalo,NY,14201
Townhouse for rent,675,2,107 Davidson Ave,Buffalo,NY,14215
Apartment for rent,1275,3,336 Prospect Ave,Buffalo,NY,14201
Apartment for rent,1200,2,666 Eggert Rd,Buffalo,NY,14215
Apartment for rent,1000,3,Cumberland Ave,Buffalo,NY,14220
Apartment for rent,1050,3,89 Lisbon Ave FL 1ST,Buffalo,NY,14214
Apartment for rent,850,2,96 Domedion Ave FL 1ST,Buffalo,NY,14211
Apartment for rent,850,3,196 Military Rd # 1,Buffalo,NY,14207
Apartment for rent,750,2,71 Kirkpatrick St,Buffalo,NY,14215
House for rent,875,3,55 Bickford Ave,Buffalo,NY,14215
Apartment for rent,1250,2,Saint Johns Pl,Buffalo,NY,14201
Apartment for rent,1000,3,Prospect Ave,Buffalo,NY,14201
Apartment for rent,1500,3,Auburn Ave,Buffalo,NY,14222
Apartment for rent,625,2,1345 E Lovejoy St,Buffalo,NY,14206
Apartment for rent,800,1,301 Lexington Ave,Buffalo,NY,14222
Apartment for rent,1050,3,70 Fairfield Ave,Buffalo,NY,14214
Apartment for rent,1275,2,7 Inwood Pl,Buffalo,NY,14209
House for rent,825,3,156 James St,Buffalo,NY,14210
Apartment for rent,850,1,328 Elmwood Ave APT 5,Buffalo,NY,14222
Apartment for rent,950,2,245 Linwood Ave,Buffalo,NY,14209
House for rent,800,3,48 Rohr St,Buffalo,NY,14211
House for rent,1240,3,1777 Seneca St,Buffalo,NY,14210
Apartment for rent,800,3,125 Greene St,Buffalo,NY,14206
Townhouse for rent,1200,3,228 Oxford Ave,Buffalo,NY,14209
House for rent,1100,4,81 Crossman Ave,Buffalo,NY,14211
Apartment for rent,750,2,123 Trowbridge St,Buffalo,NY,14220
Apartment for rent,650,2,118 Goethe St,Buffalo,NY,14206
Apartment for rent,750,2,299 Cable St,Buffalo,NY,14206
Apartment for rent,600,1,1071 E Lovejoy St,Buffalo,NY,14206
Apartment for rent,850,3,264 Bissell Ave,Buffalo,NY,14211
Apartment for rent,1250,1,800 W Ferry St,Buffalo,NY,14222
Apartment for rent,1050,1,68 Mariner St,Buffalo,NY,14201
Apartment for rent,1300,3,240 Parker Ave,Buffalo,NY,14214
Apartment for rent,1100,2,98 Cottage St,Buffalo,NY,14201
Apartment for rent,950,2,Pennsylvania St,Buffalo,NY,14201
Apartment for rent,1000,2,63 Arlington Pl,Buffalo,NY,14201
Apartment for rent,1365,3,301 Linwood Ave,Buffalo,NY,14209
Apartment for rent,850,1,825 Forest Ave # 3,Buffalo,NY,14209
Apartment for rent,975,2,E Depew Ave,Buffalo,NY,14214
Apartment for rent,1150,3,74 Saint James Pl,Buffalo,NY,14222
Apartment for rent,700,2,501 Plymouth Ave # 3,Buffalo,NY,14213
Apartment for rent,900,3,70 Blaine Ave,Buffalo,NY,14208
Apartment for rent,725,2,115 Albert Ave # 1,Buffalo,NY,14207
Apartment for rent,750,2,207 W Utica St # 2,Buffalo,NY,14222
Apartment for rent,900,3,436 Berkshire Ave APT 1,Buffalo,NY,14215
Apartment for rent,1550,2,184 Ashland Ave,Buffalo,NY,14222
House for rent,1200,3,117 Weaver St,Buffalo,NY,14206
Apartment for rent,675,2,57 Warring Ave,Buffalo,NY,14211
Apartment for rent,850,2,48 Angle St LOWR 5177585,Buffalo,NY,14214
Apartment for rent,995,2,207 Ramsdell Ave # 1,Buffalo,NY,14216
Apartment for rent,1125,1,242 Norwood Ave,Buffalo,NY,14222
Apartment for rent,700,2,256 Hastings Ave,Buffalo,NY,14215
Apartment for rent,1200,3,723 Amherst St,Buffalo,NY,14216
Apartment for rent,950,2,567 Elmwood Ave APT 4,Buffalo,NY,14222
Apartment for rent,1200,3,1550 Delaware Ave,Buffalo,NY,14209
Apartment for rent,850,2,31 School St,Buffalo,NY,14213
Apartment for rent,800,2,Herkimer St,Buffalo,NY,14213
Apartment for rent,850,2,1022 Delaware Ave APT A1,Buffalo,NY,14209
House for rent,850,2,161 W Ferry St,Buffalo,NY,14213
House for rent,1000,3,261 Rodney Ave,Buffalo,NY,14214
House for rent,1750,4,530 Norwood Ave,Buffalo,NY,14222
Townhouse for rent,700,2,32 Wick St,Buffalo,NY,14212
Apartment for rent,995,2,23 Bryant St,Buffalo,NY,14209
Townhouse for rent,2950,2,363 Lakefront Blvd,Buffalo,NY,14202
Apartment for rent,1000,3,1044 Elmwood Ave,Buffalo,NY,14222
Apartment for rent,750,3,310 E Delavan Ave,Buffalo,NY,14208
House for rent,2000,3,129 Norwood Ave,Buffalo,NY,14222
Apartment for rent,800,2,46 Lafayette Ave,Buffalo,NY,14213
Apartment for rent,850,2,Lafayette Ave,Buffalo,NY,14213
Apartment for rent,850,1,92 Traymore St APT 1,Buffalo,NY,14216
Apartment for rent,1500,2,Cleveburn Pl,Buffalo,NY,14222
Apartment for rent,1100,3,215 Allen St,Buffalo,NY,14201
Apartment for rent,1200,2,309 E North St,Buffalo,NY,14204
Apartment for rent,1390,2,1396 Amherst St APT 2,Buffalo,NY,14216
Apartment for rent,1250,2,66 Summer Street 2a # 2A,Buffalo,NY,14209
Apartment for rent,875,3,728 Prospect Ave,Buffalo,NY,14213
Apartment for rent,950,1,1021 Elmwood Ave,Buffalo,NY,14222
Apartment for rent,750,3,86 Mohr St # 1,Buffalo,NY,14212
Apartment for rent,1200,3,142 Colvin Ave,Buffalo,NY,14216
House for rent,825,2,68 Barton St,Buffalo,NY,14213
House for rent,950,3,125 Davey St,Buffalo,NY,14206
Apartment for rent,1200,2,309 North St APT 29,Buffalo,NY,14201
Apartment for rent,825,2,601 Colvin Ave APT 10,Buffalo,NY,14216
Apartment for rent,1800,2,522 Franklin St # 2,Buffalo,NY,14202
House for rent,900,4,38 Frankfort Ave,Buffalo,NY,14211
Apartment for rent,1195,2,14 Granger Pl APT 4,Buffalo,NY,14222
Apartment for rent,1120,2,467 Norwood Ave APT 1R,Buffalo,NY,14222
Apartment for rent,775,2,487 Berkshire Ave # 2,Buffalo,NY,14215
Apartment for rent,899,1,950 Delaware Ave APT 4,Buffalo,NY,14209
Apartment for rent,1350,2,892 Elmwood Ave,Buffalo,NY,14222
Apartment for rent,1095,2,52 Woodward Ave # 1,Buffalo,NY,14214
Apartment for rent,1075,2,584 W Ferry St APT 2,Buffalo,NY,14222
House for rent,1200,4,979 Walden Ave,Buffalo,NY,14211
Apartment for rent,1500,5,Ryan St,Buffalo,NY,14210
Apartment for rent,1500,3,Crestwood Ave,Buffalo,NY,14216
Apartment for rent,1000,3,288 West Ave,Buffalo,NY,14201
Apartment for rent,825,1,249 Linwood Ave,Buffalo,NY,14209
Apartment for rent,1250,2,Rabin Ter,Buffalo,NY,14201
Apartment for rent,1055,2,694 West Ave APT 3,Buffalo,NY,14213
Apartment for rent,950,2,359 Cumberland Ave,Buffalo,NY,14220
Apartment for rent,1200,2,455 Franklin St APT 4,Buffalo,NY,14202
House for rent,1500,1,449 Franklin St,Buffalo,NY,14202
Apartment for rent,900,3,1981 Broadway St # BACK,Buffalo,NY,14212
Apartment for rent,850,3,326 Winslow Ave FL 2ND,Buffalo,NY,14211
Apartment for rent,1600,1,136 Broadway St # 2,Buffalo,NY,14203
Apartment for rent,800,2,Tyler St,Buffalo,NY,14214
Apartment for rent,1200,2,829 Elmwood Ave,Buffalo,NY,14222
Apartment for rent,1475,3,114 Virgil Ave,Buffalo,NY,14216
Townhouse for rent,1200,3,62 Trinity Pl,Buffalo,NY,14201
Apartment for rent,1000,2,177 York St,Buffalo,NY,14213
Apartment for rent,775,1,1294 Hertel Ave # 04,Buffalo,NY,14216
Apartment for rent,900,3,16 Dartmouth Ave FL 1ST,Buffalo,NY,14215
Apartment for rent,750,2,649 Minnesota Ave FL 2ND,Buffalo,NY,14215
Apartment for rent,1500,2,126 Cottage St APT 4,Buffalo,NY,14201
Apartment for rent,925,2,91 Colvin Ave # OR,Buffalo,NY,14216
Apartment for rent,650,2,699 E Utica St FRNT #,Buffalo,NY,14211
Apartment for rent,775,3,326 15th St UPPR #,Buffalo,NY,14213
Apartment for rent,975,2,118 Cottage St APT 8,Buffalo,NY,14201
Apartment for rent,1395,2,565 W Delavan Ave # 2,Buffalo,NY,14222
Apartment for rent,825,3,398 Dearborn St,Buffalo,NY,14207
Apartment for rent,850,3,210 Carl St FL 1ST,Buffalo,NY,14215
House for rent,990,2,14 Vincennes St,Buffalo,NY,14204
Apartment for rent,1025,2,338 Bryant St APT 2,Buffalo,NY,14222
Apartment for rent,775,1,51 Days Park APT 1,Buffalo,NY,14201
House for rent,1500,4,78 Meech Ave,Buffalo,NY,14208
Apartment for rent,1000,2,146 Anderson Pl # UF,Buffalo,NY,14222
House for rent,2100,3,56 Irving Pl,Buffalo,NY,14201
Apartment for rent,1950,2,451 Ashland Ave # 2,Buffalo,NY,14222
Apartment for rent,1200,2,165 Saint James Pl,Buffalo,NY,14222
Apartment for rent,1000,3,394 Taunton Pl,Buffalo,NY,14216
Apartment for rent,950,1,114 Anderson Pl APT 10,Buffalo,NY,14222
Apartment for rent,950,3,162 Howell St,Buffalo,NY,14207
Apartment for rent,650,2,80 Theodore St,Buffalo,NY,14211
Apartment for rent,1000,2,496 Niagara St,Buffalo,NY,14201
House for rent,2100,2,965 Lafayette Ave,Buffalo,NY,14209
Apartment for rent,750,3,48 Domedion Ave,Buffalo,NY,14211
Apartment for rent,725,3,454 Moselle St # 2,Buffalo,NY,14215
Apartment for rent,800,3,997 Northland Ave,Buffalo,NY,14215
Apartment for rent,825,3,158 Chadduck Ave,Buffalo,NY,14207
House for rent,1399,4,55 Heath St,Buffalo,NY,14214
Apartment for rent,1195,3,330 Linden Ave,Buffalo,NY,14216
Apartment for rent,1100,3,45 Crestwood Ave,Buffalo,NY,14216
Apartment for rent,1250,4,425 Parkdale Ave,Buffalo,NY,14213
Apartment for rent,750,1,294 S Elmwood Ave APT 4,Buffalo,NY,14201
Apartment for rent,1250,2,78 Saint James Pl # 2,Buffalo,NY,14222
Apartment for rent,1350,3,206 Woodward Ave # 1,Buffalo,NY,14214
Apartment for rent,1495,3,42 Rugby Rd # 2,Buffalo,NY,14216
Apartment for rent,925,2,277 Linwood Ave APT 7A,Buffalo,NY,14209
Apartment for rent,695,1,425 Porter Ave APT 202,Buffalo,NY,14201
Apartment for rent,1295,2,935 W Ferry St,Buffalo,NY,14209
Apartment for rent,1250,1,Oakland Pl,Buffalo,NY,14222
Apartment for rent,795,3,71 Haven St,Buffalo,NY,14211
Apartment for rent,850,3,76 Hammerschmidt Ave,Buffalo,NY,14210
Apartment for rent,750,1,61 Bird Ave,Buffalo,NY,14213
Apartment for rent,800,2,34 Sunset St,Buffalo,NY,14207
Apartment for rent,1000,2,80 Hartwell Rd,Buffalo,NY,14216
Apartment for rent,750,2,699 Riley St,Buffalo,NY,14211
Apartment for rent,1000,3,156 E Morris Ave # 1,Buffalo,NY,14214
House for rent,1100,3,130 Shirley Ave,Buffalo,NY,14215
Condo for rent,1600,2,9 N Pearl St # 2,Buffalo,NY,14202
Apartment for rent,1800,2,171 Park St,Buffalo,NY,14201
Apartment for rent,895,3,472 Connecticut St APT 3,Buffalo,NY,14213
Apartment for rent,1295,2,945 W Ferry St # 2,Buffalo,NY,14209
Apartment for rent,750,1,141 Livingston St APT 2,Buffalo,NY,14213
Apartment for rent,1200,3,405 Hoyt St,Buffalo,NY,14213
Apartment for rent,850,3,260 Massachusetts Ave,Buffalo,NY,14213
Apartment for rent,1200,1,74 N Pearl St,Buffalo,NY,14202
Apartment for rent,700,2,128 Rhode Island St # 2,Buffalo,NY,14213
House for rent,1800,3,373 Parkdale Ave,Buffalo,NY,14213
Apartment for rent,700,2,940 Northland Ave # 2,Buffalo,NY,14215
Apartment for rent,1350,3,352 N Park Ave,Buffalo,NY,14216
Apartment for rent,750,3,255 Shumway St,Buffalo,NY,14212
Townhouse for rent,1200,4,272 Parkdale Ave UNIT 2,Buffalo,NY,14213
Apartment for rent,975,2,486 Ashland Ave APT 5,Buffalo,NY,14222
Apartment for rent,750,1,153 Hopkins St 2 LOWR 2,Buffalo,NY,14220
Apartment for rent,1000,4,27 Merrimac St,Buffalo,NY,14214
Apartment for rent,995,3,75 Roanoke Pkwy,Buffalo,NY,14210
House for rent,700,3,144 Congress St,Buffalo,NY,14213
Apartment for rent,1800,1,510 Washington St APT 702,Buffalo,NY,14203
Apartment for rent,875,2,1190 Kenmore Ave,Buffalo,NY,14216
Apartment for rent,825,2,1062 Clinton St,Buffalo,NY,14206
Apartment for rent,800,2,218 Heath St,Buffalo,NY,14214
Apartment for rent,950,1,771 Main St APT 6,Buffalo,NY,14203
Apartment for rent,975,2,346 Woodward Ave FL 3RD,Buffalo,NY,14214
Apartment for rent,865,4,690 Northampton St # 2ND,Buffalo,NY,14211
Apartment for rent,850,1,26 Irving Pl APT 7,Buffalo,NY,14201
Apartment for rent,1050,3,267 Minnesota Ave,Buffalo,NY,14215
Apartment for rent,1050,3,10 Tacoma Ave,Buffalo,NY,14216
Apartment for rent,1475,3,179 Norwood Ave,Buffalo,NY,14222
House for rent,1150,1,451 Franklin St,Buffalo,NY,14202
Apartment for rent,1250,3,1949 Hertel Ave,Buffalo,NY,14214
Apartment for rent,1000,2,Linwood Ave,Buffalo,NY,14209
Apartment for rent,995,3,66 Dash St # 2,Buffalo,NY,14220
Apartment for rent,850,3,25 Remoleno St # 1,Buffalo,NY,14220
Apartment for rent,1300,3,21 Manchester Pl,Buffalo,NY,14213
Apartment for rent,700,3,2450 Bailey Ave # 1,Buffalo,NY,14215
Apartment for rent,1750,1,10 Lafayette Sq APT 1601,Buffalo,NY,14203
Apartment for rent,800,3,8 Chester St,Buffalo,NY,14208
Apartment for rent,750,3,410 Cornwall Ave # 1,Buffalo,NY,14215
Apartment for rent,1450,2,196 Elmwood Ave # B,Buffalo,NY,14201
Apartment for rent,1200,3,31 Custer St,Buffalo,NY,14214
Apartment for rent,600,1,108 Domedion Ave # 2,Buffalo,NY,14211
House for rent,900,3,26 Humason Ave,Buffalo,NY,14211
Apartment for rent,750,2,49 Minnesota Ave # 2,Buffalo,NY,14214
Apartment for rent,1295,2,236 Anderson Pl,Buffalo,NY,14222
Apartment for rent,825,1,39 College St,Buffalo,NY,14201
House for rent,1950,3,21 Progressive Ave,Buffalo,NY,14207
Apartment for rent,795,2,422 Skillen St,Buffalo,NY,14207
Apartment for rent,850,3,1644 Fillmore Ave,Buffalo,NY,14211
Apartment for rent,700,1,872 West Ave,Buffalo,NY,14213
Apartment for rent,1000,3,247 Humboldt Pkwy,Buffalo,NY,14208
Apartment for rent,1500,3,Woodward Ave,Buffalo,NY,14214
Apartment for rent,1400,4,556 Potomac Ave,Buffalo,NY,14222
House for rent,1200,4,127 Texas St,Buffalo,NY,14215
Apartment for rent,1000,1,90 Cottage St APT 20,Buffalo,NY,14201
Apartment for rent,700,2,33 Collaton St # 1,Buffalo,NY,14207
Apartment for rent,1075,2,617 Breckenridge St # 1,Buffalo,NY,14222
Apartment for rent,1300,3,N Park Ave,Buffalo,NY,14216
Apartment for rent,750,3,659 Best St,Buffalo,NY,14211
House for rent,1550,3,65 Camp St,Buffalo,NY,14204
House for rent,2100,2,Tudor Pl,Buffalo,NY,14222
House for rent,1200,4,383 Military Rd,Buffalo,NY,14207
Apartment for rent,900,4,54 Dart St,Buffalo,NY,14213
Apartment for rent,1300,3,260 Lisbon Ave FL 1ST,Buffalo,NY,14215
House for rent,900,4,104 Wick St,Buffalo,NY,14212
Apartment for rent,1550,2,468 Delaware Ch-b,Buffalo,NY,14202
Apartment for rent,800,3,74 Elgas St # 1,Buffalo,NY,14207
Apartment for rent,810,2,41 Linview Ter,Buffalo,NY,14216
Apartment for rent,975,3,69 Goethe St FL 1ST,Buffalo,NY,14206
House for rent,3250,3,Oakland Pl,Buffalo,NY,14222
Townhouse for rent,2850,2,307 Lakefront Blvd,Buffalo,NY,14202
House for rent,1250,2,131 Park St,Buffalo,NY,14201
Apartment for rent,850,3,244 Grant St APT 4,Buffalo,NY,14213
Apartment for rent,760,2,422 Breckenridge St # 2,Buffalo,NY,14213
Apartment for rent,785,2,Barton St,Buffalo,NY,14213
Apartment for rent,725,1,199 Parkdale Ave APT 4,Buffalo,NY,14213
