Type Of House,Price,Street,City,State,Zip
House for sale,449900,2 Penhurst Park,Buffalo,NY,14222
House for sale,174900,669 Mckinley Pkwy,Buffalo,NY,14220
House for sale,139900,151 Kenefick Ave,Buffalo,NY,14220
House for sale,279900,401 W Utica St,Buffalo,NY,14222
House for sale,87900,195 Barnard St,Buffalo,NY,14206
House for sale,207900,19 Days Park,Buffalo,NY,14201
House for sale,279900,203 Huntington Ave,Buffalo,NY,14214
House for sale,324900,15 Cleveland Ave,Buffalo,NY,14222
House for sale,57000,21 Roosevelt Ave,Buffalo,NY,14215
Townhouse for sale,1400000,40 Waterfront Cir # 401,Buffalo,NY,14202
House for sale,429900,163 Lexington Ave,Buffalo,NY,14222
House for sale,1350000,114 Chapin Pkwy,Buffalo,NY,14209
House for sale,474900,69 Johnson Park,Buffalo,NY,14201
For sale by owner,185000,231 Richmond Ave APT 3,Buffalo,NY,14222
House for sale,519900,1063 Amherst St,Buffalo,NY,14216
House for sale,154900,52 Standish Rd,Buffalo,NY,14216
Apartment for sale,119000,743 Tifft St,Buffalo,NY,14220
House for sale,185000,20 Glendale Pl,Buffalo,NY,14208
House for sale,599000,367 Linwood Ave,Buffalo,NY,14209
House for sale,1300000,12 Middlesex Rd,Buffalo,NY,14216
House for sale,268000,674 Mckinley Pkwy,Buffalo,NY,14220
House for sale,169900,205 Ridgewood Rd,Buffalo,NY,14220
For sale by owner,187500,48 Knox Ave,Buffalo,NY,14216
House for sale,77000,140 Lemon St,Buffalo,NY,14204
House for sale,84900,337 Crowley Ave,Buffalo,NY,14207
House for sale,109900,51 Massachusetts Ave,Buffalo,NY,14213
House for sale,229900,11 Robie St,Buffalo,NY,14214
House for sale,599000,96 Middlesex Rd,Buffalo,NY,14216
House for sale,99900,129 Vandalia St,Buffalo,NY,14204
House for sale,149900,21 Mumford St,Buffalo,NY,14220
Auction,214498,86 Prospect Ave,Buffalo,NY,14201
Apartment for sale,429900,51 N Pearl St,Buffalo,NY,14202
For sale by owner,279900,15 Groveland St,Buffalo,NY,14214
For sale by owner,140000,104 Cheltenham Dr,Buffalo,NY,14216
House for sale,369900,(undisclosed Address),Buffalo,NY,14201
House for sale,155000,330 Downing St,Buffalo,NY,14220
House for sale,759900,21 Saybrook Pl,Buffalo,NY,14209
House for sale,99335,335 Austin St,Buffalo,NY,14207
For sale by owner,109000,201 Merrimac St,Buffalo,NY,14214
House for sale,149900,150 Ridgewood Rd,Buffalo,NY,14220
Apartment for sale,249900,33 Fargo Ave,Buffalo,NY,14201
House for sale,312500,58 Claremont Ave,Buffalo,NY,14222
House for sale,130000,269 Skillen St,Buffalo,NY,14207
House for sale,164900,2009 Hertel Ave,Buffalo,NY,14214
House for sale,45000,61 Brownell St,Buffalo,NY,14212
House for sale,34900,211 Stanton St,Buffalo,NY,14212
House for sale,89900,279 Weston Ave,Buffalo,NY,14215
House for sale,299000,579 Breckenridge St,Buffalo,NY,14222
House for sale,189900,321 Sanders Rd,Buffalo,NY,14216
House for sale,289900,669 Parkside Ave,Buffalo,NY,14216
House for sale,189500,204 Woodside Ave,Buffalo,NY,14220
House for sale,120000,1150 West Ave,Buffalo,NY,14213
Townhouse for sale,864500,168 Rivermist Dr,Buffalo,NY,14202
House for sale,719900,759 Lafayette Ave,Buffalo,NY,14222
For sale by owner,79000,2295 Niagara St,Buffalo,NY,14207
House for sale,119900,103 Ledger St,Buffalo,NY,14216
Apartment for sale,79900,219 French St,Buffalo,NY,14211
Apartment for sale,269900,45 Shoreham Pkwy,Buffalo,NY,14216
For sale by owner,199900,475 Prospect Ave,Buffalo,NY,14201
House for sale,499000,25 N Pearl St,Buffalo,NY,14202
Condo for sale,334900,210 Ellicott St APT 704,Buffalo,NY,14203
House for sale,165000,21 Willink Ave,Buffalo,NY,14210
House for sale,749900,761 Lafayette Ave,Buffalo,NY,14222
House for sale,269900,1025 Amherst St,Buffalo,NY,14216
Apartment for sale,500000,526 Linwood Ave,Buffalo,NY,14209
Condo for sale,645000,33 Gates Cir APT 9B,Buffalo,NY,14209
House for sale,699900,178 Summer Hill Ln,Williamsville,NY,14221
Apartment for sale,239900,32 Elmview Pl,Buffalo,NY,14207
Condo for sale,198800,125 Edward St APT 2G,Buffalo,NY,14201
Apartment for sale,145191,191 Kay St,Buffalo,NY,14215
House for sale,156000,209 Carmel Rd,Buffalo,NY,14214
House for sale,274900,144 Highland Ave,Buffalo,NY,14222
House for sale,100000,932 W Ferry St,Buffalo,NY,14209
House for sale,44800,12 Warwick Ave,Buffalo,NY,14215
House for sale,99999,398 Hoyt St,Buffalo,NY,14213
House for sale,60000,203 Vermont St,Buffalo,NY,14213
For sale by owner,185900,56 Hansen Ave,Buffalo,NY,14220
House for sale,64900,491 Tonawanda St,Buffalo,NY,14207
Apartment for sale,199999,62 Minnesota Ave,Buffalo,NY,14214
Apartment for sale,299900,2561 Main St,Buffalo,NY,14214
House for sale,254900,97 16th St,Buffalo,NY,14213
House for sale,118000,49 Beatrice Ave,Buffalo,NY,14207
Apartment for sale,125900,2263 S Park Ave,Buffalo,NY,14220
House for sale,325000,76 Trinity Pl,Buffalo,NY,14201
House for sale,159900,167 Woodside Ave,Buffalo,NY,14220
House for sale,169900,48 Harvest Ave,Buffalo,NY,14216
House for sale,70000,51 Moreland St,Buffalo,NY,14206
Apartment for sale,294900,800 Columbus Pkwy,Buffalo,NY,14213
Townhouse for sale,699900,212 Rivermist Dr,Buffalo,NY,14202
House for sale,450000,174 Jewett Pkwy,Buffalo,NY,14214
Apartment for sale,67900,31 Thatcher Ave,Buffalo,NY,14215
House for sale,729000,794 Potomac Ave,Buffalo,NY,14209
House for sale,134900,22 Oakgrove Ave,Buffalo,NY,14208
House for sale,19000,11 E Woodlawn Ave,Buffalo,NY,14211
Apartment for sale,129900,129 Whitfield Ave,Buffalo,NY,14220
For sale by owner,74000,476 Minnesota Ave,Buffalo,NY,14215
House for sale,125000,74 Aldrich Pl,Buffalo,NY,14220
For sale by owner,160000,947 Lafayette Ave,Buffalo,NY,14209
Apartment for sale,194000,224 Blaine Ave,Buffalo,NY,14208
Townhouse for sale,860000,72 Oakland Pl,Buffalo,NY,14222
House for sale,119958,58 Grape St,Buffalo,NY,14204
House for sale,190000,167 Sterling Ave,Buffalo,NY,14216
Apartment for sale,199900,362 Baynes St,Buffalo,NY,14213
House for sale,84900,195 Massachusetts Ave,Buffalo,NY,14213
For sale by owner,349900,728 Linwood Ave,Buffalo,NY,14209
House for sale,110000,45 Doyle Ave,Buffalo,NY,14207
Apartment for sale,122000,24 Bloomfield Ave,Buffalo,NY,14220
House for sale,199000,40 Groveland St,Buffalo,NY,14214
House for sale,349900,25 Covington Rd,Buffalo,NY,14216
Townhouse for sale,169000,309 North St APT 32,Buffalo,NY,14201
Apartment for sale,299900,696 Hopkins St,Buffalo,NY,14220
House for sale,439900,126 Chatham Ave,Buffalo,NY,14216
House for sale,240000,16 Bell Ave,Buffalo,NY,14220
Apartment for sale,32000,11 Concord St,Buffalo,NY,14212
House for sale,169900,41 Massachusetts Ave,Buffalo,NY,14213
House for sale,40000,79 Saint Joseph Ave,Buffalo,NY,14211
Apartment for sale,57000,76 Chester St,Buffalo,NY,14208
House for sale,49900,183 Royal Ave,Buffalo,NY,14207
Apartment for sale,629900,700 Lafayette Ave,Buffalo,NY,14222
Foreclosure,34500,141 Grote St,Buffalo,NY,14207
Apartment for sale,292000,758 Richmond Ave,Buffalo,NY,14222
House for sale,89000,140 Weiss St,Buffalo,NY,14206
House for sale,94900,16 Rounds Ave,Buffalo,NY,14215
For sale by owner,78000,192 Keystone St,Buffalo,NY,14211
House for sale,144900,607 Eggert Rd,Buffalo,NY,14215
Townhouse for sale,850000,260 Lakefront Blvd,Buffalo,NY,14202
House for sale,149000,349 Potters Rd,Buffalo,NY,14220
Apartment for sale,419000,128 Auburn Ave,Buffalo,NY,14213
For sale by owner,50000,198 Johnson St,Buffalo,NY,14211
House for sale,64900,42 Fennimore Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,26821,187 Chester St,Buffalo,NY,14208
House for sale,260000,24 Huntington Ave,Buffalo,NY,14214
House for sale,64900,17 Oneida St,Buffalo,NY,14206
Apartment for sale,300000,85 Crescent Ave,Buffalo,NY,14214
House for sale,64900,67 Roesch Ave,Buffalo,NY,14207
House for sale,49900,127 Chester St,Buffalo,NY,14208
Townhouse for sale,459900,23 Marina Park S,Buffalo,NY,14202
For sale by owner,59900,11 Calumet Pl,Buffalo,NY,14207
House for sale,144900,38 Flower St,Buffalo,NY,14214
House for sale,98500,123 Dartmouth Ave,Buffalo,NY,14215
Apartment for sale,100000,149 School St,Buffalo,NY,14213
House for sale,139000,946 Abbott Rd,Buffalo,NY,14220
Apartment for sale,289900,73 Newport Ave,Buffalo,NY,14216
For sale by owner,165000,19 Willink Ave,West Seneca,NY,14210
For sale by owner,120000,76 Block St,Buffalo,NY,14211
House for sale,64900,189 Dodge St,Buffalo,NY,14209
Townhouse for sale,295000,210 Ellicott St APT 304,Buffalo,NY,14203
Townhouse for sale,699900,32 Harbour Pointe Cmn,Buffalo,NY,14202
Apartment for sale,89900,30 South St,Buffalo,NY,14204
House for sale,94000,159 Tyler St,Buffalo,NY,14214
Townhouse for sale,299000,600 Main St UNIT 904,Buffalo,NY,14202
House for sale,49998,298 Jewett Ave,Buffalo,NY,14214
Apartment for sale,299000,76 Norwood Ave,Buffalo,NY,14222
House for sale,699000,2040 Delaware Ave,Buffalo,NY,14216
House for sale,135000,18 Baynes St,Buffalo,NY,14213
Townhouse for sale,474900,428 Lakefront Blvd,Buffalo,NY,14202
For sale by owner,80000,101 Parkview Ave,Buffalo,NY,14210
House for sale,194500,171 W Tupper St,Buffalo,NY,14201
For sale by owner,575000,589 Richmond Ave,Buffalo,NY,14222
House for sale,80000,35 Lafayette Ave,Buffalo,NY,14213
House for sale,239000,355 Parkdale Ave,Buffalo,NY,14213
Apartment for sale,139900,261 Grant St,Buffalo,NY,14213
House for sale,79880,80 Phyllis Ave,Buffalo,NY,14215
Townhouse for sale,799900,33 Gates Cir APT 6E,Buffalo,NY,14209
House for sale,269900,196 Wallace Ave,Buffalo,NY,14216
Apartment for sale,255900,308 Taunton Pl,Buffalo,NY,14216
Apartment for sale,384900,120 Johnson Park,Buffalo,NY,14201
For sale by owner,310000,18 Granger Pl,Buffalo,NY,14222
House for sale,65000,234 Schuele Ave,Buffalo,NY,14215
House for sale,175000,284 Saranac Ave,Buffalo,NY,14216
House for sale,189900,66 W Winspear Ave,Buffalo,NY,14214
House for sale,86239,1239 Michigan Ave,Buffalo,NY,14209
Apartment for sale,179900,196 Whitney Pl,Buffalo,NY,14201
House for sale,106000,156 Krettner St,Buffalo,NY,14206
Townhouse for sale,530000,15 Marina Park S,Buffalo,NY,14202
House for sale,180000,32 Julius St,Buffalo,NY,14220
House for sale,49900,26 Mayer Ave,Buffalo,NY,14207
Foreclosure,76600,385 Marilla St,Buffalo,NY,14220
Apartment for sale,225000,222 Colvin Ave,Buffalo,NY,14216
Apartment for sale,415000,99 Claremont Ave,Buffalo,NY,14222
Apartment for sale,279900,71 N Park Ave,Buffalo,NY,14216
House for sale,299900,34 Horton Pl,Buffalo,NY,14209
House for sale,69999,185 Landon St,Buffalo,NY,14208
Apartment for sale,40000,64 Sidney St,Buffalo,NY,14211
For sale by owner,105000,392 Gibson St,Buffalo,NY,14212
House for sale,48000,491 Northland Ave,Buffalo,NY,14211
Apartment for sale,159900,166 Crowley Ave,Buffalo,NY,14207
House for sale,49139,139 Dunlop Ave,Buffalo,NY,14215
Apartment for sale,164900,65 Baynes St,Buffalo,NY,14213
Apartment for sale,56000,20 Edna Pl,Buffalo,NY,14209
For sale by owner,40000,128 Carl St,Buffalo,NY,14215
Apartment for sale,79900,111 Humason Ave,Buffalo,NY,14211
Apartment for sale,724900,303 Jersey St,Buffalo,NY,14201
Apartment for sale,399000,1049 Elmwood Ave,Buffalo,NY,14222
House for sale,55000,38 Goethe St,Buffalo,NY,14206
House for sale,63900,331 Hastings Ave,Buffalo,NY,14215
House for sale,129900,147 Mariemont Ave,Buffalo,NY,14220
House for sale,39900,144 Shumway St,Buffalo,NY,14206
Apartment for sale,99000,357 Ontario St,Buffalo,NY,14207
Apartment for sale,69500,46 Ketchum Pl,Buffalo,NY,14213
Townhouse for sale,259000,800 W Ferry St APT 3B,Buffalo,NY,14222
House for sale,575000,589 Richmond Ave,Buffalo,NY,14222
House for sale,59900,27 Warring Ave,Buffalo,NY,14211
Townhouse for sale,166000,731 W Ferry APT 4H,Buffalo,NY,14222
Apartment for sale,125000,167 Mackinaw St,Buffalo,NY,14204
House for sale,54000,103 Lang Ave,Buffalo,NY,14215
House for sale,59999,393 Shirley Ave,Buffalo,NY,14215
For sale by owner,369900,830 Prospect Ave,Buffalo,NY,14213
Apartment for sale,129900,647 Prospect Ave,Buffalo,NY,14213
Apartment for sale,64900,26 Parkridge Ave,Buffalo,NY,14215
Condo for sale,599900,132 Lakefront Blvd UNIT 303,Buffalo,NY,14202
Auction,0,75 Oakgrove Ave,Buffalo,NY,14208
Pre-foreclosure,146877,25 Colton Dr,Buffalo,NY,14216
House for sale,569000,2040 Delaware Ave APT 2,Buffalo,NY,14216
Apartment for sale,139900,263 Grant St,Buffalo,NY,14213
For sale by owner,50000,456 Gold St,Buffalo,NY,14206
Auction,0,298 Dewey Ave,Buffalo,NY,14214
Pre-foreclosure,415391,760 Auburn Ave,Buffalo,NY,14222
For sale by owner,70000,290 May St,Buffalo,NY,14211
Apartment for sale,89900,12 S Putnam St,Buffalo,NY,14213
House for sale,99900,457 Minnesota Ave,Buffalo,NY,14215
Co-op for sale,226900,83 Bryant St APT 2C,Buffalo,NY,14209
Apartment for sale,108000,19 Grace St,Buffalo,NY,14207
Apartment for sale,190000,73 Baynes St,Buffalo,NY,14213
House for sale,73900,432 Hewitt Ave,Buffalo,NY,14215
For sale by owner,239900,100 Groveland St,Buffalo,NY,14214
Apartment for sale,379900,169 Anderson Pl,Buffalo,NY,14222
House for sale,129900,14 Meech Ave,Buffalo,NY,14208
Lot / Land for sale,30000,541 7th St,Buffalo,NY,14201
For sale by owner,325000,401 Northland Ave,Buffalo,NY,14208
Apartment for sale,315000,32 Mariner St,Buffalo,NY,14201
House for sale,79900,259 Pine St,Buffalo,NY,14204
For sale by owner,50000,77 Spann St,Buffalo,NY,14206
Townhouse for sale,320000,600 Main St UNIT 604,Buffalo,NY,14202
House for sale,59900,368 Dearborn St,Buffalo,NY,14207
Pre-foreclosure,125734,405 Summer St,Buffalo,NY,14213
House for sale,64900,214 Courtland Ave,Buffalo,NY,14215
House for sale,109900,49 Spaulding St,Buffalo,NY,14220
Townhouse for sale,769900,11 Ojibwa Cir,Buffalo,NY,14202
Apartment for sale,110000,260 Roesch Ave,Buffalo,NY,14207
Apartment for sale,64900,237 Titus Ave,Buffalo,NY,14211
House for sale,74900,277 Barnard St,Buffalo,NY,14206
House for sale,49999,30 Roehrer Ave,Buffalo,NY,14208
House for sale,92500,67 Bird Ave,Buffalo,NY,14213
Townhouse for sale,329900,1088 Delaware Ave APT 7E,Buffalo,NY,14209
Apartment for sale,54900,347 Walden Ave,Buffalo,NY,14211
Apartment for sale,55000,213 Efner St,Buffalo,NY,14201
Apartment for sale,149900,16 Harding Rd,Buffalo,NY,14220
Apartment for sale,79000,702 S Division St,Buffalo,NY,14210
House for sale,65000,208 Thompson St,Buffalo,NY,14207
Apartment for sale,399999,669 W Delavan Ave,Buffalo,NY,14222
Apartment for sale,239900,288 Dearborn St,Buffalo,NY,14207
House for sale,57000,11 Bennett Village Ter,Buffalo,NY,14214
For sale by owner,40000,124 Box Ave,Buffalo,NY,14211
Auction,43290,359 Dartmouth Ave,Buffalo,NY,14215
Apartment for sale,79900,779 Prospect Ave,Buffalo,NY,14213
Apartment for sale,67000,214 E Delavan Ave,Buffalo,NY,14208
Apartment for sale,419000,39 Lexington Ave,Buffalo,NY,14222
Apartment for sale,289000,269 Whitney Pl,Buffalo,NY,14201
For sale by owner,95000,77 Krettner St # 2,Buffalo,NY,14206
Townhouse for sale,229900,751 W Ferry St APT 1CD,Buffalo,NY,14222
Pre-foreclosure,33180,339 Mystic St,Buffalo,NY,14220
House for sale,44900,6 Krupp Ave,Buffalo,NY,14212
For sale by owner,54000,89 Deshler St,Buffalo,NY,14212
Condo for sale,259900,1088 Delaware Ave APT 3D,Buffalo,NY,14209
House for sale,39900,31 Schiller St,Buffalo,NY,14206
House for sale,56000,37 Texas St,Buffalo,NY,14211
House for sale,59900,97 Pershing Ave,Buffalo,NY,14211
Lot / Land for sale,40000000,951 Ellicott St,Buffalo,NY,14209
House for sale,129900,445 Willett St,Buffalo,NY,14206
Apartment for sale,155900,199 Congress St,Buffalo,NY,14213
House for sale,41900,111 Shumway St,Buffalo,NY,14206
Foreclosure,299900,806 Ashland Ave # 1-2,Buffalo,NY,14222
Townhouse for sale,289900,849 Delaware Ave APT 303,Buffalo,NY,14209
Apartment for sale,46000,130 Alabama St,Buffalo,NY,14204
House for sale,129900,151 Downing St,Buffalo,NY,14220
Auction,41832,116 Grace St,Buffalo,NY,14207
For sale by owner,51000,34 S Domedion St,Buffalo,NY,14211
House for sale,64500,236 Davey St,Buffalo,NY,14206
House for sale,39900,530 Monroe St,Buffalo,NY,14211
House for sale,69900,81 Weimar St,Buffalo,NY,14206
House for sale,55000,157 Cable St,Buffalo,NY,14206
For sale by owner,38500,91 Stevens Ave,Buffalo,NY,14215
House for sale,162500,50 Hamlin Rd,Buffalo,NY,14208
Townhouse for sale,950000,40 Waterfront Cir # 301,Buffalo,NY,14202
For sale by owner,525900,141 Livingston St APT 4,Buffalo,NY,14213
For sale by owner,110000,140 Royal Ave,Buffalo,NY,14207
Apartment for sale,169900,267 Breckenridge St,Buffalo,NY,14213
House for sale,55000,157 Cable St,Buffalo,NY,14206
Apartment for sale,99999,141 Selkirk St,Buffalo,NY,14210
House for sale,65000,386 Bristol St,Buffalo,NY,14206
House for sale,44900,6 Krupp Ave,Buffalo,NY,14212
Apartment for sale,129800,23 Oxford Ave,Buffalo,NY,14209
Pre-foreclosure,164419,151 Fargo Ave,Buffalo,NY,14201
Apartment for sale,399900,29 Livingston St,Buffalo,NY,14213
Apartment for sale,139900,100 Hawley St,Buffalo,NY,14213
House for sale,65000,208 Thompson St,Buffalo,NY,14207
House for sale,59999,393 Shirley Ave,Buffalo,NY,14215
House for sale,76000,203 Shirley Ave,Buffalo,NY,14215
Apartment for sale,139900,263 Grant St,Buffalo,NY,14213
Apartment for sale,110000,260 Roesch Ave,Buffalo,NY,14207
For sale by owner,85000,38 Heward Ave,Buffalo,NY,14207
House for sale,49139,139 Dunlop Ave,Buffalo,NY,14215
Pre-foreclosure,176108,41 Sagamore Ter,Buffalo,NY,14214
For sale by owner,5500,69 Urban St,Buffalo,NY,14211
Apartment for sale,99900,143 Weaver St,Buffalo,NY,14206
House for sale,32900,374 Florida St,Buffalo,NY,14208
House for sale,64000,27 Central Ave,Buffalo,NY,14206
Lot / Land for sale,299900,2516 Main St,Buffalo,NY,14214
Auction,58254,111 Dartmouth Ave,Buffalo,NY,14215
Apartment for sale,289800,563 W Utica St # 565,Buffalo,NY,14213
House for sale,44900,53 Gatchell St,Buffalo,NY,14212
Apartment for sale,86900,546 Winspear Ave,Buffalo,NY,14215
House for sale,130000,126 Ontario St,Buffalo,NY,14207
Lot / Land for sale,30000,541 7th St,Buffalo,NY,14201
Townhouse for sale,215000,800 W Ferry St APT 3BB,Buffalo,NY,14222
House for sale,89900,223 Newburgh Ave,Buffalo,NY,14215
House for sale,40000,79 Saint Joseph Ave,Buffalo,NY,14211
Apartment for sale,2000000,127 Abbott Rd,Buffalo,NY,14220
For sale by owner,205000,354 Sanders Rd,Buffalo,NY,14216
Pre-foreclosure / Auction,0,405 Parkside Ave,Buffalo,NY,14216
House for sale,89500,89 Riley St,Buffalo,NY,14209
House for sale,54000,103 Lang Ave,Buffalo,NY,14215
Apartment for sale,126900,319 Parkridge Ave,Buffalo,NY,14215
Pre-foreclosure,27910,426 Davey St,Buffalo,NY,14206
Apartment for sale,108000,19 Grace St,Buffalo,NY,14207
Lot / Land for sale,28000,422 Hickory St,Buffalo,NY,14204
House for sale,63900,331 Hastings Ave,Buffalo,NY,14215
Townhouse for sale,166000,731 W Ferry APT 4H,Buffalo,NY,14222
Apartment for sale,99000,357 Ontario St,Buffalo,NY,14207
House for sale,44900,204 Texas St,Buffalo,NY,14215
Apartment for sale,360000,354 Prospect Ave,Buffalo,NY,14201
Apartment for sale,115000,38 Macamley St,Buffalo,NY,14220
For sale by owner,105000,392 Gibson St,Buffalo,NY,14212
For sale by owner,235000,3174 Bailey Ave,Buffalo,NY,14215
House for sale,55000,179 Courtland Ave,Buffalo,NY,14215
Pre-foreclosure,74393,23 Godfrey St,Buffalo,NY,14215
Apartment for sale,159900,230 15th St,Buffalo,NY,14213
Pre-foreclosure / Auction,57512,197 Goulding Ave,Buffalo,NY,14208
House for sale,34900,119 Clare St,Buffalo,NY,14206
House for sale,49900,370 Emslie St,Buffalo,NY,14206
House for sale,78800,233 Hampshire St,Buffalo,NY,14213
Make Me MoveÂ®,299000,47 Allenhurst Rd,Buffalo,NY,14214
For sale by owner,229000,391 Forest Ave,Buffalo,NY,14213
Pre-foreclosure,313405,74 Chatham Ave,Buffalo,NY,14216
House for sale,99500,19 Hill St,Buffalo,NY,14214
Townhouse for sale,132900,83 Bryant St APT 1C,Buffalo,NY,14209
Apartment for sale,64900,257 Ontario St,Buffalo,NY,14207
For sale by owner,60000,367 Ontario St,Buffalo,NY,14207
For sale by owner,54000,89 Deshler St,Buffalo,NY,14212
Apartment for sale,159900,55 Oxford Ave,Buffalo,NY,14209
Apartment for sale,129900,238 Marilla St,Buffalo,NY,14220
Apartment for sale,9900,65 Reiman St,Buffalo,NY,14206
Pre-foreclosure,74361,50 Academy Rd,Buffalo,NY,14211
Pre-foreclosure,119073,72 Alsace Ave,Buffalo,NY,14220
For sale by owner,70000,290 May St,Buffalo,NY,14211
Apartment for sale,59900,29 Duerstein St,Buffalo,NY,14210
Apartment for sale,89900,43 Gold St,Buffalo,NY,14206
Foreclosed,0,42 Chadduck Ave,Buffalo,NY,14207
House for sale,6250,217 Orlando St,Buffalo,NY,14210
House for sale,29995,192 15th St,Buffalo,NY,14213
House for sale,89000,140 Weiss St,Buffalo,NY,14206
Apartment for sale,229000,402 Breckenridge St,Buffalo,NY,14213
House for sale,299900,34 Horton Pl,Buffalo,NY,14209
Apartment for sale,104900,549 Lisbon Ave,Buffalo,NY,14215
Apartment for sale,149900,828 Fillmore Ave,Buffalo,NY,14212
Apartment for sale,149900,356 Herkimer St,Buffalo,NY,14213
Pre-foreclosure,129361,63 Newport Ave,Buffalo,NY,14216
House for sale,69900,42 Progressive Ave,Buffalo,NY,14207
Pre-foreclosure,139721,111 Greenfield St,Buffalo,NY,14214
Apartment for sale,65000,56 Floss Ave,Buffalo,NY,14211
Apartment for sale,199900,2090 Seneca St,Buffalo,NY,14210
Apartment for sale,117900,179 Newfield St,Buffalo,NY,14207
Apartment for sale,49900,37 Lark St,Buffalo,NY,14211
House for sale,73900,432 Hewitt Ave,Buffalo,NY,14215
Lot / Land for sale,399900,295 Linwood Ave,Buffalo,NY,14209
Pre-foreclosure,98061,122 Abbott Rd,Buffalo,NY,14220
Pre-foreclosure,128244,56 Harding Rd,Buffalo,NY,14220
Apartment for sale,41000,130 Alabama St,Buffalo,NY,14204
House for sale,59900,368 Dearborn St,Buffalo,NY,14207
For sale by owner,38500,91 Stevens Ave,Buffalo,NY,14215
Apartment for sale,25000,358 Massachusetts Ave,Buffalo,NY,14213
Apartment for sale,82900,70 Clarence Ave,Buffalo,NY,14215
For sale by owner,40000,708 Sherman St,Buffalo,NY,14211
Pre-foreclosure / Auction,0,295 Commonwealth Ave,Buffalo,NY,14216
Apartment for sale,109900,428 Schiller St,Buffalo,NY,14212
Townhouse for sale,950000,40 Waterfront Cir # 301,Buffalo,NY,14202
Apartment for sale,169900,397 Grant St,Buffalo,NY,14213
Pre-foreclosure / Auction,0,34 Eaglewood Ave,Buffalo,NY,14220
Apartment for sale,249900,553 E Amherst St,Buffalo,NY,14215
Apartment for sale,86900,481 Highgate Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,104018,133 Bennett Village Ter,Buffalo,NY,14214
Apartment for sale,95000,417 Goethe St,Buffalo,NY,14212
Pre-foreclosure,93775,12 Doyle Ave,Buffalo,NY,14207
Townhouse for sale,769900,11 Ojibwa Cir,Buffalo,NY,14202
For sale by owner,40000,128 Carl St,Buffalo,NY,14215
House for sale,94900,16 Rounds Ave,Buffalo,NY,14215
House for sale,119958,58 Grape St,Buffalo,NY,14204
Make Me MoveÂ®,70000,187 Cable St,Buffalo,NY,14206
Apartment for sale,75000,29 Gold St,Buffalo,NY,14206
Pre-foreclosure,55958,159 Bickford Ave,Buffalo,NY,14215
Pre-foreclosure / Auction,0,373 Herman St,Buffalo,NY,14211
Pre-foreclosure / Auction,105930,34 Tamarack St,Buffalo,NY,14220
Condo for sale,189999,125 Edward St APT 3F,Buffalo,NY,14201
Apartment for sale,84900,36 Manhattan Ave,Buffalo,NY,14215
Apartment for sale,189900,387 Ontario St,Buffalo,NY,14207
Apartment for sale,40000,417 Bailey Ave,Buffalo,NY,14210
Pre-foreclosure / Auction,0,466 Mckinley Pkwy,Buffalo,NY,14220
Condo for sale,224999,125 Edward St APT 1C,Buffalo,NY,14201
Pre-foreclosure,55485,121 Wright Ave,Buffalo,NY,14215
House for sale,44900,42 California St,Buffalo,NY,14213
Apartment for sale,252500,312 Bird Ave,Buffalo,NY,14213
Apartment for sale,134900,441 Lisbon Ave,Buffalo,NY,14215
For sale by owner,74000,476 Minnesota Ave,Buffalo,NY,14215
House for sale,54900,462 Schiller St,Buffalo,NY,14212
Pre-foreclosure / Auction,56674,524 E Ferry St,Buffalo,NY,14208
Pre-foreclosure,216907,457 Potomac Ave,Buffalo,NY,14213
Apartment for sale,187900,8 Oxford Ave,Buffalo,NY,14209
Pre-foreclosure / Auction,0,430 Goethe St,Buffalo,NY,14212
Apartment for sale,260000,219 Bird Ave,Buffalo,NY,14213
Apartment for sale,85000,21 Herkimer St,Buffalo,NY,14213
Lot / Land for sale,19900,349 Germania St,Buffalo,NY,14220
Pre-foreclosure,79448,392 Fargo Ave,Buffalo,NY,14213
Pre-foreclosure,57959,140 Rounds Ave,Buffalo,NY,14215
Apartment for sale,114999,120 Auburn Ave,Buffalo,NY,14213
Pre-foreclosure / Auction,285164,132 Lancaster Ave,Buffalo,NY,14222
Apartment for sale,349900,2449 Delaware Ave,Buffalo,NY,14216
Apartment for sale,175000,590 Wyoming Ave,Buffalo,NY,14215
House for sale,71900,64 Hempstead Ave,Buffalo,NY,14215
Apartment for sale,64900,237 Titus Ave,Buffalo,NY,14211
Pre-foreclosure,25091,953 Fillmore Ave,Buffalo,NY,14211
Apartment for sale,119000,850 Sycamore St,Buffalo,NY,14212
Lot / Land for sale,15000,396 Abbott Rd,Buffalo,NY,14220
House for sale,49900,19 Hurlock Ave,Buffalo,NY,14211
House for sale,59000,1253 E Delavan Ave,Buffalo,NY,14215
Apartment for sale,125000,60 B St,Buffalo,NY,14211
Pre-foreclosure,71486,20 Rejtan St,Buffalo,NY,14206
Pre-foreclosure,76553,45 Sage Ave,Buffalo,NY,14210
House for sale,49900,114 Wex Ave,Buffalo,NY,14211
Apartment for sale,64900,232 Laird Ave,Buffalo,NY,14207
For sale by owner,99000,185 Strauss St,Buffalo,NY,14211
Apartment for sale,79000,702 S Division St,Buffalo,NY,14210
Apartment for sale,79900,56 Shepard St,Buffalo,NY,14212
