Type Of House,Price,Street,City,State,Zip
House for sale,319900,4838 Hatfield St,Pittsburgh,PA,15201
House for sale,149900,223 Bascom Ave,Pittsburgh,PA,15214
House for sale,749000,1533 Valmont St,Pittsburgh,PA,15217
House for sale,269900,236 Sleepy Hollow Rd,Pittsburgh,PA,15216
House for sale,690000,5427 Kentucky Ave,Pittsburgh,PA,15232
Townhouse for sale,459000,138 Bigham St,Pittsburgh,PA,15211
For sale by owner,198000,7228 Butler St,Pittsburgh,PA,15206
House for sale,44900,322 Mathews Ave,Pittsburgh,PA,15210
Condo for sale,475000,5600 Munhall Rd APT 515,Pittsburgh,PA,15217
House for sale,319800,4036 Ludwick St,Pittsburgh,PA,15217
Condo for sale,315000,710 Copeland St APT 12,Shadyside,PA,15232
House for sale,569900,5533 Butler St # B2+,Pittsburgh,PA,15201
House for sale,95000,1548 Rutherford Ave,Pittsburgh,PA,15216
House for sale,350000,1329 N Sheridan Ave,Pittsburgh,PA,15206
House for sale,230000,4239 Upview Ter,Pittsburgh,PA,15201
House for sale,209900,2492 Perrysville Ave,Pittsburgh,PA,15214
House for sale,425000,5340 Pocusset St,Pittsburgh,PA,15217
House for sale,249000,298 Kenmont Ave,Pittsburgh,PA,15216
House for sale,155000,838 Rockwood Ave,Pittsburgh,PA,15234
For sale by owner,186000,1306 Arrowood Dr,Pittsburgh,PA,15243
House for sale,2900000,1100 Shady Ave,Pittsburgh,PA,15232
House for sale,147500,222 Paul St,Mt Washington,PA,15211
House for sale,249000,3539 Simen Ave,Pittsburgh,PA,15212
House for sale,209900,916 Vista St,Pittsburgh,PA,15212
House for sale,999750,609 Amberson Ave,Pittsburgh,PA,15232
House for sale,199900,627 Oxford Blvd,Pittsburgh,PA,15243
House for sale,289900,3821 Cabinet Way,Pittsburgh,PA,15201
House for sale,425000,5453 Wilkins Ave,Pittsburgh,PA,15217
For sale by owner,189000,112 Washington Pl APT 10A,Pittsburgh,PA,15219
House for sale,160000,2406 California Ave,Pittsburgh,PA,15212
House for sale,659000,1410 Pennsylvania Ave,Pittsburgh,PA,15233
House for sale,279900,5425 Claybourne St,Pittsburgh,PA,15232
House for sale,139900,1312 Oakmont St,Pittsburgh,PA,15205
House for sale,279999,165 Erin St,Pittsburgh,PA,15219
